report_date,mall,ad_type,landing,url,campaign,adgroup,keyword,device,impressions,clicks,cost,conversions,conversion_value
2026-01-01,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-03,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-05,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,3,0,0,0,0
2026-01-06,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,5,0,0,0,0
2026-01-07,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,3,0,0,0,0
2026-01-08,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-01-09,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-10,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-01-11,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,5,0,0,0,0
2026-01-12,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-13,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-01-16,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,5,0,0,0,0
2026-01-17,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-18,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-01-19,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
